YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND
2025,,0,,Auburn,1,1,64
2025,,0,,Alabama St.,16,64,64
2025,,0,,Louisville,8,1,64
2025,,0,,Creighton,9,64,64
2025,,0,,Michigan,5,1,64
2025,,0,,UC San Diego,12,64,64
2025,,0,,Texas A&M,4,1,64
2025,,0,,Yale,13,64,64
2025,,0,,Mississippi,6,1,64
2025,,0,,North Carolina,11,64,64
2025,,0,,Iowa St.,3,1,64
2025,,0,,Lipscomb,14,64,64
2025,,0,,Marquette,7,1,64
2025,,0,,New Mexico,10,64,64
2025,,0,,Michigan St.,2,1,64
2025,,0,,Bryant,15,64,64
2025,,0,,Florida,1,1,64
2025,,0,,Norfolk St.,16,64,64
2025,,0,,Connecticut,8,1,64
2025,,0,,Oklahoma,9,64,64
2025,,0,,Memphis,5,1,64
2025,,0,,Colorado St.,12,64,64
2025,,0,,Maryland,4,1,64
2025,,0,,Grand Canyon,13,64,64
2025,,0,,Missouri,6,1,64
2025,,0,,Drake,11,64,64
2025,,0,,Texas Tech,3,1,64
2025,,0,,UNC Wilmington,14,64,64
2025,,0,,Kansas,7,1,64
2025,,0,,Arkansas,10,64,64
2025,,0,,St. John's,2,1,64
2025,,0,,Nebraska Omaha,15,64,64
2025,,0,,Duke,1,1,64
2025,,0,,American,16,64,64
2025,,0,,Mississippi St.,8,1,64
2025,,0,,Baylor,9,64,64
2025,,0,,Oregon,5,1,64
2025,,0,,Liberty,12,64,64
2025,,0,,Arizona,4,1,64
2025,,0,,Akron,13,64,64
2025,,0,,BYU,6,1,64
2025,,0,,VCU,11,64,64
2025,,0,,Wisconsin,3,1,64
2025,,0,,Montana,14,64,64
2025,,0,,Saint Mary's,7,1,64
2025,,0,,Vanderbilt,10,64,64
2025,,0,,Alabama,2,1,64
2025,,0,,Robert Morris,15,64,64
2025,,0,,Houston,1,1,64
2025,,0,,SIUE,16,64,64
2025,,0,,Gonzaga,8,1,64
2025,,0,,Georgia,9,64,64
2025,,0,,Clemson,5,1,64
2025,,0,,McNeese,12,64,64
2025,,0,,Purdue,4,1,64
2025,,0,,High Point,13,64,64
2025,,0,,Illinois,6,1,64
2025,,0,,Xavier,11,64,64
2025,,0,,Kentucky,3,1,64
2025,,0,,Troy,14,64,64
2025,,0,,UCLA,7,1,64
2025,,0,,Utah St.,10,64,64
2025,,0,,Tennessee,2,1,64
2025,,0,,Wofford,15,64,64
